trade_date,active_return,growth_return,market_return,active_return_20d,state,state_name
2023-04-10,0.015312311591841,0.010812311591841,-0.0045,-0.03358045450370106,0,Bear
2023-04-11,-0.0034869793180058,-0.0045869793180059,-0.0011,-0.026729405849617582,0,Bear
2023-04-12,-0.0058373479375373,-0.0065373479375373,-0.0007,-0.03982598004658089,0,Bear
2023-04-13,0.005538785160616,-0.0013612148393839,-0.0069,-0.03101001649008628,0,Bear
2023-04-14,0.0003294323027599,0.0060294323027599,0.0056999999999999,-0.037848871972861575,0,Bear
2023-04-17,-0.0081424162172345,0.0058575837827654,0.0139999999999999,-0.03638598571917495,0,Bear
2023-04-18,0.0018882951413813,0.0048882951413814,0.003,-0.039808366842150056,0,Bear
2023-04-19,0.0094544696086583,0.0004544696086583,-0.009,-0.020433104112710265,0,Bear
2023-04-20,0.0006552242021687,-0.0021447757978313,-0.0028,-0.012137667317562939,0,Bear
2023-04-21,0.0270187050293512,0.0074187050293512,-0.0196,0.02558968073393708,1,Bull
2023-04-24,0.0106014689660523,-0.0017985310339476,-0.0124,0.03532967363106465,1,Bull
2023-04-25,0.0012515920858985,-0.0037484079141015,-0.005,0.03316444124461326,1,Bull
2023-04-26,0.0055992262120224,0.0046992262120224,-0.0009,0.03413226973997707,1,Bull
2023-04-27,-0.007364248253657,3.5751746342979054e-05,0.0074,0.023244186040523918,1,Bull
2023-04-28,-0.0243502885894667,-0.0141502885894667,0.0102,0.0007730634913045709,1,Bull
2023-05-04,-0.0102220760713505,-0.0099220760713505,0.0003,-0.0045035932302534,0,Bear
2023-05-05,-0.0073863508574884,-0.0106863508574885,-0.0033,0.002351718017533644,1,Bull
2023-05-08,-0.0131666790308892,-0.0017666790308893,0.0113999999999999,-0.0035907491507265465,0,Bear
2023-05-09,0.0073827178172361,-0.0012172821827639,-0.0086,-0.0032544583945635086,0,Bear
2023-05-10,0.0105938475925602,0.0028938475925602,-0.0077,0.014530226258187229,1,Bull
2023-05-11,-0.0019398852600557,-0.0035398852600558,-0.0016,-0.0027086813919757757,0,Bear
2023-05-12,0.0088782414314227,-0.0044217585685773,-0.0133,0.009666196858624465,1,Bull
2023-05-15,-0.0046898129363926,0.0108101870636073,0.0155,0.010831627181281611,1,Bull
2023-05-16,0.0117839664018934,0.0065839664018934,-0.0052,0.01710968110553157,1,Bull
2023-05-17,0.0002264582445425,-0.0042735417554575,-0.0045,0.017004979686045196,1,Bull
2023-05-18,-0.0040109497313743,-0.0050109497313743,-0.001,0.02124119470141239,1,Bull
2023-05-19,0.0028908977892429,-9.102210757077896e-06,-0.0029,0.022263164047574335,1,Bull
2023-05-22,-0.005471253412291,0.000828746587709,0.0063,0.00714805256859119,1,Bull
2023-05-23,0.0154483596504834,0.0013483596504835,-0.0141,0.022037174413762184,1,Bull
2023-05-24,0.0130797597749614,-0.0007202402250386,-0.0138,0.008165839692845678,1,Bull
2023-05-25,0.0015156794423729,-0.0006843205576271,-0.0022,-0.0008980523612440727,0,Bear
2023-05-26,-0.0076102255003754,-0.0075102255003754,0.0001,-0.009740844003273352,0,Bear
2023-05-29,0.0025525772580065,-0.0018474227419935,-0.0044,-0.012741017375707764,0,Bear
2023-05-30,-0.004972712468525,-0.003972712468525,0.001,-0.010362435723792474,0,Bear
2023-05-31,0.003659533766225,-0.006540466233775,-0.0102,0.018048962391439716,1,Bull
2023-06-01,-0.0048251196795344,-0.0026251196795344,0.0022,0.023600072112044623,1,Bull
2023-06-02,-0.014186969334645,0.000213030665355,0.0144,0.01658715870949634,1,Bull
2023-06-05,-0.0003371821185831,-0.0049371821185832,-0.0046,0.029803475524726064,1,Bull
2023-06-06,0.005232794627807,-0.0041672053721929,-0.0093999999999999,0.027605702688815237,1,Bull
2023-06-07,-0.0046053644438213,-0.0095053644438213,-0.0049,0.012150634362237067,1,Bull
2023-06-08,-0.0123605049609932,-0.0042605049609932,0.0081,0.0015828973241729383,1,Bull
2023-06-09,-0.0008311862598011,0.0034688137401989,0.0043,-0.008056320094707026,0,Bear
2023-06-12,-0.0012807775370763,0.0007192224629237,0.002,-0.00465881531390977,0,Bear
2023-06-13,-0.0088944214516042,-0.0035944214516042,0.0053,-0.02500115295412053,0,Bear
2023-06-14,-0.0017919812680123,-0.0019919812680123,-0.0002,-0.026968683588159403,0,Bear
2023-06-15,-0.0070058398759145,0.0088941601240855,0.0159,-0.029894540954829685,0,Bear
2023-06-16,-0.0110289903060822,-0.0014289903060823,0.0096,-0.04335937492664077,0,Bear
2023-06-19,0.0058056852055898,-0.0023943147944101,-0.0081999999999999,-0.03251204884849823,0,Bear
2023-06-20,0.0073636392372959,0.0056636392372959,-0.0017,-0.040214921686738014,0,Bear
2023-06-21,0.0169647479554623,0.0016647479554623,-0.0153,-0.03653430952457615,0,Bear
2023-06-26,0.0197119387026326,0.0056119387026326,-0.0141,-0.019029369909434934,0,Bear
