"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-4-17","3,772.22","3,755.09","3,779.13","3,749.50","122.37K","-0.02%"
"2025-4-16","3,772.82","3,757.88","3,775.17","3,721.60","156.36K","0.31%"
"2025-4-15","3,761.23","3,756.48","3,764.49","3,737.85","134.01K","0.06%"
"2025-4-14","3,759.14","3,772.04","3,776.63","3,754.03","164.46K","0.23%"
"2025-4-11","3,750.52","3,730.31","3,762.37","3,708.46","168.76K","0.41%"
"2025-4-10","3,735.11","3,749.13","3,756.14","3,708.82","227.25K","1.31%"
"2025-4-9","3,686.79","3,606.10","3,686.79","3,587.34","262.31K","0.99%"
"2025-4-8","3,650.76","3,597.99","3,650.76","3,583.87","280.20K","1.71%"
"2025-4-7","3,589.44","3,675.20","3,707.78","3,514.12","312.58K","-7.05%"
"2025-4-3","3,861.50","3,843.42","3,883.70","3,843.42","142.60K","-0.59%"
"2025-4-2","3,884.39","3,884.42","3,900.49","3,877.16","113.04K","-0.08%"
"2025-4-1","3,887.68","3,892.78","3,905.26","3,882.40","140.38K","0.01%"
"2025-3-31","3,887.31","3,905.98","3,928.45","3,872.40","166.80K","-0.71%"
"2025-3-28","3,915.17","3,930.78","3,934.23","3,907.38","126.36K","-0.44%"
"2025-3-27","3,932.41","3,911.38","3,952.99","3,903.65","126.79K","0.33%"
"2025-3-26","3,919.36","3,930.21","3,942.03","3,916.86","131.16K","-0.33%"
"2025-3-25","3,932.30","3,937.90","3,946.36","3,921.53","140.48K","-0.06%"
"2025-3-24","3,934.85","3,916.11","3,938.18","3,907.20","152.24K","0.51%"
"2025-3-21","3,914.70","3,966.51","3,983.15","3,904.77","165.91K","-1.52%"
"2025-3-20","3,974.99","4,011.06","4,012.04","3,969.93","133.76K","-0.88%"
"2025-3-19","4,010.17","4,004.83","4,025.30","3,989.51","144.42K","0.06%"
"2025-3-18","4,007.72","4,011.78","4,016.87","3,995.96","140.21K","0.27%"
"2025-3-17","3,996.79","4,020.64","4,021.73","3,992.26","162.20K","-0.24%"
"2025-3-14","4,006.56","3,919.62","4,014.16","3,919.62","216.14K","2.43%"
"2025-3-13","3,911.58","3,925.74","3,939.29","3,897.38","156.54K","-0.40%"
"2025-3-12","3,927.23","3,946.86","3,953.61","3,921.47","156.73K","-0.36%"
"2025-3-11","3,941.42","3,890.43","3,941.42","3,889.43","144.75K","0.32%"
"2025-3-10","3,928.80","3,945.58","3,949.14","3,905.13","152.77K","-0.39%"
"2025-3-7","3,944.01","3,944.91","3,967.07","3,935.05","166.73K","-0.31%"
"2025-3-6","3,956.24","3,923.38","3,964.49","3,917.08","193.96K","1.38%"
"2025-3-5","3,902.57","3,887.80","3,906.42","3,877.02","158.65K","0.45%"
"2025-3-4","3,885.22","3,865.99","3,890.42","3,855.73","149.85K","-0.08%"
"2025-3-3","3,888.47","3,899.70","3,930.00","3,872.59","177.62K","-0.04%"
"2025-2-28","3,890.05","3,950.19","3,972.48","3,886.40","198.10K","-1.97%"
"2025-2-27","3,968.12","3,961.06","3,973.93","3,933.46","202.89K","0.21%"
"2025-2-26","3,959.94","3,931.84","3,960.33","3,925.37","191.06K","0.87%"
"2025-2-25","3,925.65","3,933.64","3,955.43","3,915.65","178.11K","-1.11%"
"2025-2-24","3,969.72","3,972.48","3,995.95","3,949.23","220.81K","-0.22%"
"2025-2-21","3,978.44","3,938.05","3,981.05","3,927.79","227.40K","1.26%"
"2025-2-20","3,928.90","3,934.65","3,940.68","3,916.18","163.90K","-0.29%"
"2025-2-19","3,940.16","3,906.22","3,943.67","3,904.15","182.83K","0.70%"
"2025-2-18","3,912.78","3,942.58","3,965.42","3,901.87","209.43K","-0.88%"
"2025-2-17","3,947.40","3,954.41","3,955.90","3,921.70","213.59K","0.21%"
"2025-2-14","3,939.01","3,900.83","3,942.04","3,900.83","172.98K","0.87%"
"2025-2-13","3,905.14","3,913.90","3,939.20","3,904.98","172.49K","-0.38%"
"2025-2-12","3,919.86","3,875.96","3,920.72","3,867.35","164.23K","0.95%"
"2025-2-11","3,883.14","3,905.16","3,905.16","3,872.91","166.58K","-0.46%"
"2025-2-10","3,901.06","3,898.10","3,906.37","3,878.83","188.90K","0.21%"
"2025-2-7","3,892.70","3,844.06","3,919.35","3,833.87","221.86K","1.30%"
"2025-2-6","3,842.83","3,789.61","3,843.49","3,788.32","167.29K","1.26%"
"2025-2-5","3,795.08","3,844.70","3,844.70","3,785.16","157.17K","-0.58%"
"2025-1-27","3,817.08","3,836.96","3,852.00","3,817.08","146.67K","-0.41%"
"2025-1-24","3,832.86","3,793.85","3,847.60","3,793.48","148.97K","0.77%"
"2025-1-23","3,803.74","3,829.05","3,864.26","3,801.85","180.57K","0.18%"
"2025-1-22","3,797.02","3,823.94","3,823.94","3,783.14","137.26K","-0.93%"
"2025-1-21","3,832.61","3,850.36","3,850.91","3,817.12","141.22K","0.08%"
"2025-1-20","3,829.68","3,835.30","3,858.67","3,821.98","139.58K","0.45%"
"2025-1-17","3,812.34","3,788.37","3,831.64","3,780.21","126.62K","0.31%"
"2025-1-16","3,800.38","3,812.19","3,842.95","3,776.29","144.51K","0.11%"
"2025-1-15","3,796.03","3,810.04","3,816.83","3,790.17","141.48K","-0.64%"
"2025-1-14","3,820.54","3,728.56","3,826.64","3,718.88","170.67K","2.63%"
"2025-1-13","3,722.51","3,704.44","3,737.89","3,704.11","136.45K","-0.27%"
"2025-1-10","3,732.48","3,778.89","3,786.81","3,732.48","137.52K","-1.25%"
"2025-1-9","3,779.88","3,780.73","3,795.26","3,768.68","129.79K","-0.25%"
"2025-1-8","3,789.22","3,781.26","3,810.74","3,731.19","169.17K","-0.18%"
"2025-1-7","3,796.11","3,760.87","3,797.60","3,749.06","146.46K","0.72%"
"2025-1-6","3,768.97","3,775.99","3,788.85","3,743.07","150.95K","-0.16%"
"2025-1-3","3,775.16","3,825.24","3,835.94","3,767.67","175.34K","-1.18%"
"2025-1-2","3,820.40","3,931.82","3,934.20","3,796.34","217.90K","-2.91%"
"2024-12-31","3,934.91","3,995.87","4,004.35","3,934.91","183.93K","-1.60%"
"2024-12-30","3,999.05","3,976.70","4,005.78","3,976.70","164.61K","0.45%"
"2024-12-27","3,981.03","3,987.02","4,007.13","3,970.94","169.27K","-0.16%"
"2024-12-26","3,987.48","3,981.73","3,991.53","3,965.55","143.43K","0.05%"
"2024-12-25","3,985.63","3,987.96","4,007.76","3,969.48","159.39K","0.05%"
"2024-12-24","3,983.69","3,934.94","3,985.86","3,934.73","161.50K","1.27%"
"2024-12-23","3,933.57","3,928.15","3,965.85","3,928.15","190.07K","0.15%"
